"filename", "language", "JavaScript", "JSON", "JSON with Comments", "TypeScript", "SCSS", "HTML", "Markdown", "comment", "blank", "total"
"d:\habitau\README.md", "Markdown", 0, 0, 0, 0, 0, 0, 14, 0, 14, 28
"d:\habitau\angular.json", "JSON", 0, 110, 0, 0, 0, 0, 0, 0, 1, 111
"d:\habitau\karma.conf.js", "JavaScript", 37, 0, 0, 0, 0, 0, 0, 6, 2, 45
"d:\habitau\package-lock.json", "JSON", 0, 20894, 0, 0, 0, 0, 0, 0, 1, 20895
"d:\habitau\package.json", "JSON", 0, 45, 0, 0, 0, 0, 0, 0, 1, 46
"d:\habitau\server\db.json", "JSON", 0, 137, 0, 0, 0, 0, 0, 0, 0, 137
"d:\habitau\src\app\app-routing.module.ts", "TypeScript", 0, 0, 0, 118, 0, 0, 0, 0, 3, 121
"d:\habitau\src\app\app.component.html", "HTML", 0, 0, 0, 0, 0, 4, 0, 0, 0, 4
"d:\habitau\src\app\app.component.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\habitau\src\app\app.component.spec.ts", "TypeScript", 0, 0, 0, 31, 0, 0, 0, 0, 5, 36
"d:\habitau\src\app\app.component.ts", "TypeScript", 0, 0, 0, 9, 0, 0, 0, 0, 2, 11
"d:\habitau\src\app\app.module.ts", "TypeScript", 0, 0, 0, 78, 0, 0, 0, 0, 3, 81
"d:\habitau\src\app\pages\private\adminambiente\adminambiente.component.html", "HTML", 0, 0, 0, 0, 0, 1, 0, 0, 1, 2
"d:\habitau\src\app\pages\private\adminambiente\adminambiente.component.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\habitau\src\app\pages\private\adminambiente\adminambiente.component.spec.ts", "TypeScript", 0, 0, 0, 18, 0, 0, 0, 0, 6, 24
"d:\habitau\src\app\pages\private\adminambiente\adminambiente.component.ts", "TypeScript", 0, 0, 0, 11, 0, 0, 0, 0, 5, 16
"d:\habitau\src\app\pages\private\administrador\administrador.component.html", "HTML", 0, 0, 0, 0, 0, 37, 0, 0, 1, 38
"d:\habitau\src\app\pages\private\administrador\administrador.component.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\habitau\src\app\pages\private\administrador\administrador.component.spec.ts", "TypeScript", 0, 0, 0, 18, 0, 0, 0, 0, 6, 24
"d:\habitau\src\app\pages\private\administrador\administrador.component.ts", "TypeScript", 0, 0, 0, 11, 0, 0, 0, 0, 5, 16
"d:\habitau\src\app\pages\private\adminprofile\adminprofile.component.html", "HTML", 0, 0, 0, 0, 0, 59, 0, 0, 0, 59
"d:\habitau\src\app\pages\private\adminprofile\adminprofile.component.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\habitau\src\app\pages\private\adminprofile\adminprofile.component.spec.ts", "TypeScript", 0, 0, 0, 18, 0, 0, 0, 0, 6, 24
"d:\habitau\src\app\pages\private\adminprofile\adminprofile.component.ts", "TypeScript", 0, 0, 0, 32, 0, 0, 0, 0, 4, 36
"d:\habitau\src\app\pages\private\admintipopropiedades\admintipopropiedades.component.html", "HTML", 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
"d:\habitau\src\app\pages\private\admintipopropiedades\admintipopropiedades.component.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\habitau\src\app\pages\private\admintipopropiedades\admintipopropiedades.component.spec.ts", "TypeScript", 0, 0, 0, 18, 0, 0, 0, 0, 6, 24
"d:\habitau\src\app\pages\private\admintipopropiedades\admintipopropiedades.component.ts", "TypeScript", 0, 0, 0, 11, 0, 0, 0, 0, 5, 16
"d:\habitau\src\app\pages\private\adminuniversities\adminuniversities.component.html", "HTML", 0, 0, 0, 0, 0, 1, 0, 0, 1, 2
"d:\habitau\src\app\pages\private\adminuniversities\adminuniversities.component.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\habitau\src\app\pages\private\adminuniversities\adminuniversities.component.spec.ts", "TypeScript", 0, 0, 0, 18, 0, 0, 0, 0, 6, 24
"d:\habitau\src\app\pages\private\adminuniversities\adminuniversities.component.ts", "TypeScript", 0, 0, 0, 11, 0, 0, 0, 0, 5, 16
"d:\habitau\src\app\pages\private\dashadministrador\dashadministrador.component.html", "HTML", 0, 0, 0, 0, 0, 121, 0, 0, 4, 125
"d:\habitau\src\app\pages\private\dashadministrador\dashadministrador.component.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\habitau\src\app\pages\private\dashadministrador\dashadministrador.component.spec.ts", "TypeScript", 0, 0, 0, 18, 0, 0, 0, 0, 6, 24
"d:\habitau\src\app\pages\private\dashadministrador\dashadministrador.component.ts", "TypeScript", 0, 0, 0, 35, 0, 0, 0, 0, 5, 40
"d:\habitau\src\app\pages\private\dasharrendatario\dasharrendatario.component.html", "HTML", 0, 0, 0, 0, 0, 102, 0, 0, 4, 106
"d:\habitau\src\app\pages\private\dasharrendatario\dasharrendatario.component.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\habitau\src\app\pages\private\dasharrendatario\dasharrendatario.component.spec.ts", "TypeScript", 0, 0, 0, 18, 0, 0, 0, 0, 6, 24
"d:\habitau\src\app\pages\private\dasharrendatario\dasharrendatario.component.ts", "TypeScript", 0, 0, 0, 33, 0, 0, 0, 0, 4, 37
"d:\habitau\src\app\pages\private\formpropiedad\formpropiedad.component.html", "HTML", 0, 0, 0, 0, 0, 143, 0, 0, 19, 162
"d:\habitau\src\app\pages\private\formpropiedad\formpropiedad.component.scss", "SCSS", 0, 0, 0, 0, 8, 0, 0, 0, 2, 10
"d:\habitau\src\app\pages\private\formpropiedad\formpropiedad.component.spec.ts", "TypeScript", 0, 0, 0, 18, 0, 0, 0, 0, 6, 24
"d:\habitau\src\app\pages\private\formpropiedad\formpropiedad.component.ts", "TypeScript", 0, 0, 0, 20, 0, 0, 0, 0, 5, 25
"d:\habitau\src\app\pages\private\formusuario\formusuario.component.html", "HTML", 0, 0, 0, 0, 0, 60, 0, 1, 5, 66
"d:\habitau\src\app\pages\private\formusuario\formusuario.component.scss", "SCSS", 0, 0, 0, 0, 8, 0, 0, 0, 1, 9
"d:\habitau\src\app\pages\private\formusuario\formusuario.component.spec.ts", "TypeScript", 0, 0, 0, 18, 0, 0, 0, 0, 6, 24
"d:\habitau\src\app\pages\private\formusuario\formusuario.component.ts", "TypeScript", 0, 0, 0, 14, 0, 0, 0, 0, 4, 18
"d:\habitau\src\app\pages\private\home\home.component.html", "HTML", 0, 0, 0, 0, 0, 45, 0, 0, 0, 45
"d:\habitau\src\app\pages\private\home\home.component.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\habitau\src\app\pages\private\home\home.component.spec.ts", "TypeScript", 0, 0, 0, 18, 0, 0, 0, 0, 6, 24
"d:\habitau\src\app\pages\private\home\home.component.ts", "TypeScript", 0, 0, 0, 11, 0, 0, 0, 0, 5, 16
"d:\habitau\src\app\pages\private\profile\profile.component.html", "HTML", 0, 0, 0, 0, 0, 83, 0, 0, 3, 86
"d:\habitau\src\app\pages\private\profile\profile.component.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\habitau\src\app\pages\private\profile\profile.component.spec.ts", "TypeScript", 0, 0, 0, 18, 0, 0, 0, 0, 6, 24
"d:\habitau\src\app\pages\private\profile\profile.component.ts", "TypeScript", 0, 0, 0, 48, 0, 0, 0, 0, 6, 54
"d:\habitau\src\app\pages\private\propiedades\propiedades.component.html", "HTML", 0, 0, 0, 0, 0, 75, 0, 0, 2, 77
"d:\habitau\src\app\pages\private\propiedades\propiedades.component.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\habitau\src\app\pages\private\propiedades\propiedades.component.spec.ts", "TypeScript", 0, 0, 0, 18, 0, 0, 0, 0, 6, 24
"d:\habitau\src\app\pages\private\propiedades\propiedades.component.ts", "TypeScript", 0, 0, 0, 11, 0, 0, 0, 0, 5, 16
"d:\habitau\src\app\pages\public\aboutnav\aboutnav.component.html", "HTML", 0, 0, 0, 0, 0, 138, 0, 0, 20, 158
"d:\habitau\src\app\pages\public\aboutnav\aboutnav.component.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\habitau\src\app\pages\public\aboutnav\aboutnav.component.spec.ts", "TypeScript", 0, 0, 0, 18, 0, 0, 0, 0, 6, 24
"d:\habitau\src\app\pages\public\aboutnav\aboutnav.component.ts", "TypeScript", 0, 0, 0, 11, 0, 0, 0, 0, 5, 16
"d:\habitau\src\app\pages\public\contactnav\contactnav.component.html", "HTML", 0, 0, 0, 0, 0, 226, 0, 0, 17, 243
"d:\habitau\src\app\pages\public\contactnav\contactnav.component.scss", "SCSS", 0, 0, 0, 0, 8, 0, 0, 0, 2, 10
