Date : 2023-04-24 20:06:42
Directory : d:\habitau
Total : 157 files,  25944 codes, 184 comments, 724 blanks, all 26852 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
+--------------------+------------+------------+------------+------------+------------+
| JSON               |          6 |     21,217 |          2 |          5 |     21,224 |
| HTML               |         31 |      2,747 |         76 |        213 |      3,036 |
| TypeScript         |         85 |      1,829 |         98 |        452 |      2,379 |
| SCSS               |         31 |         57 |          0 |         36 |         93 |
| JavaScript         |          2 |         49 |          7 |          3 |         59 |
| JSON with Comments |          1 |         31 |          1 |          1 |         33 |
| Markdown           |          1 |         14 |          0 |         14 |         28 |
+--------------------+------------+------------+------------+------------+------------+

Directories
+----------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                         | files      | code       | comment    | blank      | total      |
+----------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                            |        157 |     25,944 |        184 |        724 |     26,852 |
| . (Files)                                                                                    |          9 |     21,174 |         10 |         23 |     21,207 |
| server                                                                                       |          1 |        137 |          0 |          0 |        137 |
| src                                                                                          |        147 |      4,633 |        174 |        701 |      5,508 |
| src (Files)                                                                                  |          5 |         48 |         51 |         16 |        115 |
| src\app                                                                                      |        140 |      4,579 |        112 |        681 |      5,372 |
| src\app (Files)                                                                              |          6 |        240 |          0 |         14 |        254 |
| src\app\pages                                                                                |         76 |      2,832 |         90 |        390 |      3,312 |
| src\app\pages\private                                                                        |         48 |      1,208 |          1 |        183 |      1,392 |
| src\app\pages\private\adminambiente                                                          |          4 |         30 |          0 |         13 |         43 |
| src\app\pages\private\administrador                                                          |          4 |         66 |          0 |         13 |         79 |
| src\app\pages\private\adminprofile                                                           |          4 |        109 |          0 |         11 |        120 |
| src\app\pages\private\admintipopropiedades                                                   |          4 |         30 |          0 |         12 |         42 |
| src\app\pages\private\adminuniversities                                                      |          4 |         30 |          0 |         13 |         43 |
| src\app\pages\private\dashadministrador                                                      |          4 |        174 |          0 |         16 |        190 |
| src\app\pages\private\dasharrendatario                                                       |          4 |        153 |          0 |         15 |        168 |
| src\app\pages\private\formpropiedad                                                          |          4 |        189 |          0 |         32 |        221 |
| src\app\pages\private\formusuario                                                            |          4 |        100 |          1 |         16 |        117 |
| src\app\pages\private\home                                                                   |          4 |         74 |          0 |         12 |         86 |
| src\app\pages\private\profile                                                                |          4 |        149 |          0 |         16 |        165 |
| src\app\pages\private\propiedades                                                            |          4 |        104 |          0 |         14 |        118 |
| src\app\pages\public                                                                         |         28 |      1,624 |         89 |        207 |      1,920 |
| src\app\pages\public\aboutnav                                                                |          4 |        167 |          0 |         32 |        199 |
| src\app\pages\public\contactnav                                                              |          4 |        322 |          0 |         31 |        353 |
| src\app\pages\public\explorenav                                                              |          4 |        323 |         59 |         40 |        422 |
| src\app\pages\public\pagenotfound                                                            |          4 |         40 |          0 |         12 |         52 |
| src\app\pages\public\register                                                                |          4 |        471 |         24 |         51 |        546 |
| src\app\pages\public\rentnav                                                                 |          4 |        242 |          6 |         29 |        277 |
| src\app\pages\public\spacesnav                                                               |          4 |         59 |          0 |         12 |         71 |
| src\app\services                                                                             |         18 |        287 |          4 |         91 |        382 |
| src\app\shared                                                                               |         40 |      1,220 |         18 |        186 |      1,424 |
| src\app\shared\components                                                                    |         40 |      1,220 |         18 |        186 |      1,424 |
| src\app\shared\components\footer                                                             |          4 |        127 |          0 |         27 |        154 |
| src\app\shared\components\header                                                             |          4 |        207 |          6 |         31 |        244 |
| src\app\shared\components\hero                                                               |          4 |         92 |          4 |         19 |        115 |
| src\app\shared\components\modalogin                                                          |          4 |        237 |          8 |         24 |        269 |
| src\app\shared\components\sectionfive                                                        |          4 |        182 |          0 |         13 |        195 |
| src\app\shared\components\sectionfour                                                        |          4 |        109 |          0 |          9 |        118 |
| src\app\shared\components\sectionone                                                         |          4 |         86 |          0 |         16 |        102 |
| src\app\shared\components\sectionsix                                                         |          4 |         53 |          0 |         15 |         68 |
| src\app\shared\components\sectionthree                                                       |          4 |         61 |          0 |         12 |         73 |
| src\app\shared\components\sectiontwo                                                         |          4 |         66 |          0 |         20 |         86 |
| src\environments                                                                             |          2 |          6 |         11 |          4 |         21 |
+----------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+----------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| filename                                                                                     | language           | code       | comment    | blank      | total      |
+----------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| d:\habitau\README.md                                                                         | Markdown           |         14 |          0 |         14 |         28 |
| d:\habitau\angular.json                                                                      | JSON               |        110 |          0 |          1 |        111 |
| d:\habitau\karma.conf.js                                                                     | JavaScript         |         37 |          6 |          2 |         45 |
| d:\habitau\package-lock.json                                                                 | JSON               |     20,894 |          0 |          1 |     20,895 |
| d:\habitau\package.json                                                                      | JSON               |         45 |          0 |          1 |         46 |
| d:\habitau\server\db.json                                                                    | JSON               |        137 |          0 |          0 |        137 |
| d:\habitau\src\app\app-routing.module.ts                                                     | TypeScript         |        118 |          0 |          3 |        121 |
| d:\habitau\src\app\app.component.html                                                        | HTML               |          4 |          0 |          0 |          4 |
| d:\habitau\src\app\app.component.scss                                                        | SCSS               |          0 |          0 |          1 |          1 |
| d:\habitau\src\app\app.component.spec.ts                                                     | TypeScript         |         31 |          0 |          5 |         36 |
| d:\habitau\src\app\app.component.ts                                                          | TypeScript         |          9 |          0 |          2 |         11 |
| d:\habitau\src\app\app.module.ts                                                             | TypeScript         |         78 |          0 |          3 |         81 |
| d:\habitau\src\app\pages\private\adminambiente\adminambiente.component.html                  | HTML               |          1 |          0 |          1 |          2 |
| d:\habitau\src\app\pages\private\adminambiente\adminambiente.component.scss                  | SCSS               |          0 |          0 |          1 |          1 |
| d:\habitau\src\app\pages\private\adminambiente\adminambiente.component.spec.ts               | TypeScript         |         18 |          0 |          6 |         24 |
| d:\habitau\src\app\pages\private\adminambiente\adminambiente.component.ts                    | TypeScript         |         11 |          0 |          5 |         16 |
| d:\habitau\src\app\pages\private\administrador\administrador.component.html                  | HTML               |         37 |          0 |          1 |         38 |
| d:\habitau\src\app\pages\private\administrador\administrador.component.scss                  | SCSS               |          0 |          0 |          1 |          1 |
