"filename", "language", "JSON", "JSON with Comments", "JavaScript", "Markdown", "HTML", "SCSS", "TypeScript", "comment", "blank", "total"
"c:\habitau\README.md", "Markdown", 0, 0, 0, 14, 0, 0, 0, 0, 14, 28
"c:\habitau\angular.json", "JSON", 110, 0, 0, 0, 0, 0, 0, 0, 1, 111
"c:\habitau\karma.conf.js", "JavaScript", 0, 0, 37, 0, 0, 0, 0, 6, 2, 45
"c:\habitau\package-lock.json", "JSON", 20914, 0, 0, 0, 0, 0, 0, 0, 1, 20915
"c:\habitau\package.json", "JSON", 46, 0, 0, 0, 0, 0, 0, 0, 1, 47
"c:\habitau\server\db.json", "JSON", 137, 0, 0, 0, 0, 0, 0, 0, 0, 137
"c:\habitau\src\app\app-routing.module.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 120, 0, 3, 123
"c:\habitau\src\app\app.component.html", "HTML", 0, 0, 0, 0, 4, 0, 0, 0, 1, 5
"c:\habitau\src\app\app.component.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\habitau\src\app\app.component.spec.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 31, 0, 5, 36
"c:\habitau\src\app\app.component.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 9, 0, 2, 11
"c:\habitau\src\app\app.module.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 80, 0, 3, 83
"c:\habitau\src\app\pages\private\adminambiente\adminambiente.component.html", "HTML", 0, 0, 0, 0, 1, 0, 0, 0, 1, 2
"c:\habitau\src\app\pages\private\adminambiente\adminambiente.component.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\habitau\src\app\pages\private\adminambiente\adminambiente.component.spec.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 18, 0, 6, 24
"c:\habitau\src\app\pages\private\adminambiente\adminambiente.component.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 11, 0, 5, 16
"c:\habitau\src\app\pages\private\administrador\administrador.component.html", "HTML", 0, 0, 0, 0, 66, 0, 0, 0, 2, 68
"c:\habitau\src\app\pages\private\administrador\administrador.component.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\habitau\src\app\pages\private\administrador\administrador.component.spec.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 18, 0, 6, 24
"c:\habitau\src\app\pages\private\administrador\administrador.component.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 11, 0, 5, 16
"c:\habitau\src\app\pages\private\adminprofile\adminprofile.component.html", "HTML", 0, 0, 0, 0, 68, 0, 0, 0, 1, 69
"c:\habitau\src\app\pages\private\adminprofile\adminprofile.component.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\habitau\src\app\pages\private\adminprofile\adminprofile.component.spec.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 18, 0, 6, 24
"c:\habitau\src\app\pages\private\adminprofile\adminprofile.component.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 32, 0, 4, 36
"c:\habitau\src\app\pages\private\admintipopropiedades\admintipopropiedades.component.html", "HTML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"c:\habitau\src\app\pages\private\admintipopropiedades\admintipopropiedades.component.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\habitau\src\app\pages\private\admintipopropiedades\admintipopropiedades.component.spec.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 18, 0, 6, 24
"c:\habitau\src\app\pages\private\admintipopropiedades\admintipopropiedades.component.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 11, 0, 5, 16
"c:\habitau\src\app\pages\private\adminuniversities\adminuniversities.component.html", "HTML", 0, 0, 0, 0, 1, 0, 0, 0, 1, 2
"c:\habitau\src\app\pages\private\adminuniversities\adminuniversities.component.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\habitau\src\app\pages\private\adminuniversities\adminuniversities.component.spec.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 18, 0, 6, 24
"c:\habitau\src\app\pages\private\adminuniversities\adminuniversities.component.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 11, 0, 5, 16
"c:\habitau\src\app\pages\private\dashadministrador\dashadministrador.component.html", "HTML", 0, 0, 0, 0, 229, 0, 0, 0, 5, 234
"c:\habitau\src\app\pages\private\dashadministrador\dashadministrador.component.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\habitau\src\app\pages\private\dashadministrador\dashadministrador.component.spec.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 18, 0, 6, 24
"c:\habitau\src\app\pages\private\dashadministrador\dashadministrador.component.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 35, 0, 4, 39
"c:\habitau\src\app\pages\private\dasharrendatario\dasharrendatario.component.html", "HTML", 0, 0, 0, 0, 196, 0, 0, 0, 5, 201
"c:\habitau\src\app\pages\private\dasharrendatario\dasharrendatario.component.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\habitau\src\app\pages\private\dasharrendatario\dasharrendatario.component.spec.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 18, 0, 6, 24
"c:\habitau\src\app\pages\private\dasharrendatario\dasharrendatario.component.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 32, 1, 4, 37
"c:\habitau\src\app\pages\private\formpropiedad\formpropiedad.component.html", "HTML", 0, 0, 0, 0, 279, 0, 0, 0, 16, 295
"c:\habitau\src\app\pages\private\formpropiedad\formpropiedad.component.scss", "SCSS", 0, 0, 0, 0, 0, 8, 0, 0, 2, 10
"c:\habitau\src\app\pages\private\formpropiedad\formpropiedad.component.spec.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 18, 0, 6, 24
